"","X","Group","HostReportedName","HostCorrectedName","HostOrder","HostFamily","HostEnvironment","ParasiteReportedName","ParasiteCorrectedName","HasBinomialName","ParType","ParPhylum","ParClass","Citation","LocationName","Longitude","Latitude","PopulationType","SamplingBasis","SampleNotes","Prevalence","HostsSampled","HostSex","HostAge","Intensity","IntensityMeasure","NativeRange","NumSamples","SamplingType"
"1",73,"carnivores","Acinonyx jubatus","Acinonyx jubatus","Carnivora","Felidae","terrestrial","Trichinella nelsoni","Trichinella nelsoni","yes","Helminth","Nematoda","Enoplea","Pozio et al. 1997","Serengeti National Park, Northern Tanzania",34.83,-2.33,"WN","Animals","Muscle Tissue",0.2,5,NA,NA,"0.5","ParasiteCount","Yes",5,"DirectOther"
"2",237,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Paramphistomum cotylophorum","Cotylophoron cotylophorum","yes","Helminth","Platyhelminthes","Trematoda","Anderson 1982","Nyala Game Ranch, 20km NW of Empageni, Natal",31.7,-28.68,NA,NA,"organs- rumen, reticulum, abomasum, small intestine",0.89,46,NA,NA,"",NA,"Yes",46,NA
"3",277,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Fasciola hepatica","Fasciola hepatica","yes","Helminth","Platyhelminthes","Trematoda","Ocaido et al 1999","Lake Mburo National Parks, Uganda",30.95,-0.62,"WN",NA,NA,NA,NA,NA,NA,"",NA,"Yes",NA,NA
"4",426,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Moniezia benedeni","Moniezia benedeni","yes","Helminth","Platyhelminthes","Cestoda","Zieger et al 1998b","Chibombo District, Zambia",28.09,-14.66,"WN",NA,"gastro-intestinal tract, thoracic organs, liver, kidneys, paranasal sinuses, skins",0.16,12,NA,NA,"",NA,"Yes",12,NA
"5",427,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Moniezia expansa","Moniezia expansa","yes","Helminth","Platyhelminthes","Cestoda","Anderson 1982","Nyala Game Ranch, 20km NW of Empageni, Natal",31.7,-28.68,NA,NA,"organs- gi tract, heart, lung liver",0.06,46,NA,NA,"",NA,"Yes",46,NA
"6",428,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Moniezia expansa","Moniezia expansa","yes","Helminth","Platyhelminthes","Cestoda","Anderson 1982","Nyala Game Ranch, 20km NW of Empageni, Natal",31.7,-28.68,NA,NA,"organs- gi tract, heart, lung liver",0.08,46,NA,"Juvenile","",NA,"Yes",35,NA
"7",450,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Anderson 1982","Nyala Game Ranch, 20km NW of Empageni, Natal",31.7,-28.68,NA,NA,"organs- caecum and colon",0.95,46,NA,NA,"",NA,"Yes",46,NA
"8",451,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Horak et al 1983a","Skukuza, Kruger National Park, South Africa",31.59,-25,"WN",NA,"organs- gi tract",0.75,7,"Male",NA,"",NA,"Yes",4,NA
"9",452,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Horak et al 1983a","Skukuza, Kruger National Park, South Africa",31.59,-25,"WN",NA,"organs- gi tract",0.85,7,NA,NA,"",NA,"Yes",7,NA
"10",453,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Horak et al 1983a","Skukuza, Kruger National Park, South Africa",31.59,-25,"WN",NA,"organs- gi tract",1,7,"Female",NA,"",NA,"Yes",3,NA
"11",454,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Horak et al 1983a","Skukuza, Kruger National Park, South Africa",31.59,-25,"WN",NA,"organs- gi tract",0.8,7,NA,"Adult","",NA,"Yes",5,NA
"12",455,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Horak et al 1983a","Skukuza, Kruger National Park, South Africa",31.59,-25,"WN",NA,"organs- gi tract",1,7,NA,"Juvenile","",NA,"Yes",2,NA
"13",456,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",1,7,"Male",NA,"41.3","ParasiteCount","Yes",7,"DirectOther"
"14",457,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",0.714,98,"All","Adult","119.6","ParasiteCount","Yes",98,"DirectOther"
"15",458,"ungulates","Aepyceros melampus","Aepyceros melampus","Artiodactyla","Bovidae","terrestrial","Oesophagostomum columbianum","Oesophagostomum columbianum","yes","Helminth","Nematoda","Secernentea","Negovetich et al 2006","Kruger National Park, South Africa",31.45,-23.82,"WO","Animals","Enteric parasites identified and counted for each impala at necropsy. Only male parasites counted",0.768,56,"Male","Adult","99.5","ParasiteCount","Yes",56,"DirectOther"
